UID,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20
Gansu-Mainland China,Gansu,Mainland China,36.0611,103.8343,0,2,4,8,15,29,48,72,98,127,167,215,267,320,376,432,490,556,621,685,745,799,848,897,936,970,1001,1028,1052,1070,1083,1096,1107,1116,1125,1133,1141,1148,1155,1160,1164,1167,1169,1182,1212,1243
"Grafton County, NH-US","Grafton County, NH",US,43.9088,-71.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,9,11
Grand Princess Cruise Ship-US,Grand Princess Cruise Ship,US,37.6489,-122.6655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"Grant County, WA-US","Grant County, WA",US,47.1981,-119.3732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
Guangdong-Mainland China,Guangdong,Mainland China,23.3417,113.4244,26,56,107,183,292,439,642,914,1258,1683,2204,2821,3525,4308,5154,6055,7000,7982,8971,9962,10926,11869,12794,13691,14573,15422,16216,16975,17695,18380,19018,19624,20205,20758,21276,21765,22215,22621,22980,23306,23590,23832,24042,24205,24334,24442
Guangxi-Mainland China,Guangxi,Mainland China,23.8298,108.7881,2,7,30,53,89,135,184,240,316,401,499,608,728,857,994,1148,1303,1469,1645,1830,2011,2200,2387,2575,2764,2950,3133,3304,3460,3613,3760,3903,4044,4181,4297,4400,4489,4571,4645,4714,4772,4820,4860,4896,4929,4961
Guizhou-Mainland China,Guizhou,Mainland China,26.8154,106.8748,1,4,7,11,16,23,32,40,51,78,105,141,185,241,295,359,433,514,605,703,812,926,1033,1144,1245,1342,1430,1508,1582,1654,1721,1775,1817,1859,1899,1939,1971,2003,2035,2067,2097,2127,2157,2187,2217,2246
Hainan-Mainland China,Hainan,Mainland China,19.1959,109.7453,4,9,17,36,58,90,129,171,215,265,325,384,451,525,618,715,820,928,1037,1153,1274,1400,1523,1635,1754,1860,1960,2040,2120,2198,2267,2327,2384,2431,2470,2504,2536,2566,2581,2595,2607,2615,2620,2624,2628,2632
"Harris County, TX-US","Harris County, TX",US,29.7752,-95.3103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10
Hebei-Mainland China,Hebei,Mainland China,38.0428,114.5149,1,1,2,9,21,38,70,117,181,262,357,457,566,687,815,958,1107,1271,1441,1616,1805,2000,2194,2387,2574,2766,2942,3108,3258,3391,3510,3610,3696,3767,3824,3869,3906,3941,3971,3989,4005,4017,4028,4036,4043,4048
Heilongjiang-Mainland China,Heilongjiang,Mainland China,47.862,127.7615,0,2,5,13,27,47,79,116,158,215,291,382,499,648,829,1045,1307,1584,1871,2165,2489,2828,3181,3542,3888,4243,4604,4946,5284,5612,5904,6167,6413,6654,6879,7098,7295,7479,7645,7770,7881,7982,8076,8165,8237,8302
